HCBG_ID	Similarity
G4O-8991-MONOMER	83.65
G4O-9008-MONOMER	77.28
G4O-9014-MONOMER	71.43
G4O-9046-MONOMER	62.3
G4O-1268-MONOMER	72.96
G4O-1271-MONOMER	50.48
G4O-1283-MONOMER	73.06
G4O-1287-MONOMER	62.86
G4O-1289-MONOMER	65.52
G4O-1310-MONOMER	78.85
G4O-1325-MONOMER	58.16
G4O-1334-MONOMER	77.42
G4O-1339-MONOMER	53.73
G4O-1347-MONOMER	69.49
G4O-1376-MONOMER	63.64
G4O-1566-MONOMER	82.98
G4O-1582-MONOMER	80.0
G4O-1592-MONOMER	58.0
G4O-1896-MONOMER	63.93
G4O-1897-MONOMER	69.12
G4O-2440-MONOMER	65.75
G4O-2441-MONOMER	45.83
G4O-2453-MONOMER	53.91
G4O-2458-MONOMER	73.91
G4O-2471-MONOMER	78.78
G4O-2473-MONOMER	62.0
G4O-381-MONOMER	64.37
G4O-384-MONOMER	52.69
G4O-396-MONOMER	81.74
G4O-3967-MONOMER	60.36
G4O-3970-MONOMER	67.95
G4O-398-MONOMER	81.25
G4O-3998-MONOMER	63.64
G4O-4004-MONOMER	65.71
G4O-4020-MONOMER	54.17
G4O-4026-MONOMER	63.38
G4O-4051-MONOMER	76.0
G4O-4052-MONOMER	69.88
G4O-4064-MONOMER	70.59
G4O-4078-MONOMER	66.57
G4O-4099-MONOMER	64.52
G4O-4100-MONOMER	52.17
G4O-4101-MONOMER	79.31
G4O-4108-MONOMER	59.57
G4O-4113-MONOMER	70.27
G4O-4538-MONOMER	77.51
G4O-4695-MONOMER	39.34
G4O-4714-MONOMER	76.56
G4O-4740-MONOMER	62.12
G4O-4746-MONOMER	68.1
G4O-5519-MONOMER	84.88
G4O-5520-MONOMER	84.73
G4O-5545-MONOMER	84.08
G4O-5797-MONOMER	60.38
G4O-5806-MONOMER	88.84
G4O-5821-MONOMER	74.26
G4O-5872-MONOMER	59.23
G4O-613-MONOMER	68.18
G4O-6445-MONOMER	77.14
G4O-6450-MONOMER	74.9
G4O-6454-MONOMER	61.28
G4O-6469-MONOMER	56.39
G4O-6480-MONOMER	62.12
G4O-6488-MONOMER	71.28
G4O-6496-MONOMER	57.43
G4O-6502-MONOMER	60.0
G4O-6512-MONOMER	51.91
G4O-6550-MONOMER	57.26
G4O-6564-MONOMER	94.63
G4O-6575-MONOMER	74.42
G4O-6588-MONOMER	82.21
G4O-6670-MONOMER	63.57
G4O-7091-MONOMER	62.96
G4O-7101-MONOMER	66.1
G4O-7106-MONOMER	59.09
G4O-7315-MONOMER	50.48
G4O-7322-MONOMER	66.06
G4O-7433-MONOMER	78.76
G4O-7436-MONOMER	61.31
G4O-7445-MONOMER	57.36
G4O-7448-MONOMER	75.0
G4O-7449-MONOMER	73.33
G4O-7461-MONOMER	69.7
G4O-7468-MONOMER	66.67
G4O-7479-MONOMER	70.41
G4O-7505-MONOMER	65.52
G4O-8483-MONOMER	65.41
G4O-8496-MONOMER	60.58
G4O-8510-MONOMER	67.44
G4O-8510-MONOMER	69.77
G4O-8524-MONOMER	55.0
G4O-8526-MONOMER	85.88
G4O-9052-MONOMER	76.19
G4O-9058-MONOMER	79.49
G4O-906-MONOMER	60.78
G4O-9062-MONOMER	70.94
G4O-9085-MONOMER	63.16
G4O-9096-MONOMER	70.41
G4O-9100-MONOMER	76.04
G4O-1370-MONOMER	75.0
G4O-1599-MONOMER	70.19
G4O-1615-MONOMER	65.15
G4O-1617-MONOMER	65.22
G4O-1621-MONOMER	70.21
G4O-1633-MONOMER	64.81
G4O-1914-MONOMER	63.29
G4O-2493-MONOMER	55.0
G4O-2496-MONOMER	78.53
G4O-2511-MONOMER	73.74
G4O-2513-MONOMER	56.36
G4O-2522-MONOMER	60.34
G4O-2534-MONOMER	61.54
G4O-2541-MONOMER	58.49
G4O-4127-MONOMER	67.89
G4O-4134-MONOMER	58.79
G4O-4145-MONOMER	63.16
G4O-4187-MONOMER	55.1
G4O-4227-MONOMER	71.88
G4O-4238-MONOMER	74.03
G4O-424-MONOMER	75.0
G4O-4241-MONOMER	67.29
G4O-4244-MONOMER	56.91
G4O-4251-MONOMER	67.11
G4O-4264-MONOMER	51.47
G4O-4296-MONOMER	67.16
G4O-4297-MONOMER	65.67
G4O-431-MONOMER	77.92
G4O-433-MONOMER	82.35
G4O-441-MONOMER	51.33
G4O-464-MONOMER	87.17
G4O-464-MONOMER	86.84
G4O-4789-MONOMER	90.62
G4O-4792-MONOMER	66.67
G4O-4826-MONOMER	69.49
G4O-4846-MONOMER	89.25
G4O-4859-MONOMER	63.83
G4O-5554-MONOMER	97.78
G4O-5568-MONOMER	80.33
G4O-5585-MONOMER	62.2
G4O-5691-MONOMER	68.57
G4O-5694-MONOMER	52.13
G4O-5698-MONOMER	72.09
G4O-5706-MONOMER	57.8
G4O-5714-MONOMER	76.63
G4O-5720-MONOMER	57.33
G4O-5761-MONOMER	78.84
G4O-5763-MONOMER	69.57
G4O-626-MONOMER	65.0
G4O-649-MONOMER	63.24
G4O-650-MONOMER	62.0
G4O-6621-MONOMER	74.58
G4O-6645-MONOMER	69.14
G4O-6655-MONOMER	47.57
G4O-6662-MONOMER	60.29
G4O-6663-MONOMER	62.75
G4O-6683-MONOMER	72.12
G4O-6685-MONOMER	77.64
G4O-6717-MONOMER	82.17
G4O-6733-MONOMER	72.51
G4O-690-MONOMER	80.81
G4O-693-MONOMER	62.34
G4O-710-MONOMER	64.6
G4O-753-MONOMER	75.0
G4O-7538-MONOMER	76.69
G4O-7567-MONOMER	67.39
G4O-7576-MONOMER	66.67
G4O-7594-MONOMER	91.89
G4O-7620-MONOMER	55.49
G4O-7620-MONOMER	55.73
G4O-7683-MONOMER	65.82
G4O-769-MONOMER	48.54
G4O-7756-MONOMER	66.67
G4O-8540-MONOMER	53.03
G4O-8556-MONOMER	75.62
G4O-8561-MONOMER	59.38
G4O-8583-MONOMER	80.52
G4O-9111-MONOMER	58.06
G4O-9116-MONOMER	67.42
G4O-9117-MONOMER	79.71
G4O-9134-MONOMER	59.88
G4O-9147-MONOMER	63.77
G4O-9151-MONOMER	60.0
G4O-9165-MONOMER	68.92
G4O-9167-MONOMER	57.89
G4O-1026-MONOMER	86.29
G4O-1648-MONOMER	81.55
G4O-1662-MONOMER	77.9
G4O-1667-MONOMER	71.79
G4O-1686-MONOMER	78.53
G4O-1687-MONOMER	72.39
G4O-1689-MONOMER	68.54
G4O-2552-MONOMER	70.69
G4O-2556-MONOMER	63.97
G4O-2567-MONOMER	90.99
G4O-2582-MONOMER	54.44
G4O-2582-MONOMER	54.26
G4O-2588-MONOMER	40.0
G4O-2595-MONOMER	45.04
G4O-4309-MONOMER	70.0
G4O-4311-MONOMER	68.31
G4O-4320-MONOMER	81.23
G4O-4320-MONOMER	80.87
G4O-4339-MONOMER	80.0
G4O-4352-MONOMER	76.1
G4O-4367-MONOMER	82.2
G4O-4372-MONOMER	82.35
G4O-4375-MONOMER	57.14
G4O-4398-MONOMER	74.25
G4O-4400-MONOMER	84.49
G4O-4426-MONOMER	55.38
G4O-4439-MONOMER	56.98
G4O-4448-MONOMER	69.79
G4O-4450-MONOMER	50.63
G4O-4451-MONOMER	74.29
G4O-4454-MONOMER	67.88
G4O-4455-MONOMER	81.09
G4O-4456-MONOMER	50.0
G4O-4459-MONOMER	62.88
G4O-4477-MONOMER	62.41
G4O-4481-MONOMER	74.32
G4O-4558-MONOMER	67.42
G4O-4566-MONOMER	81.58
G4O-4581-MONOMER	63.22
G4O-4586-MONOMER	63.54
G4O-4587-MONOMER	63.32
G4O-4588-MONOMER	71.07
G4O-4599-MONOMER	87.35
G4O-4860-MONOMER	62.96
G4O-4864-MONOMER	54.1
G4O-4868-MONOMER	88.24
G4O-4896-MONOMER	59.47
G4O-4897-MONOMER	63.16
G4O-4915-MONOMER	66.04
G4O-4953-MONOMER	66.85
G4O-4956-MONOMER	54.32
G4O-4986-MONOMER	69.23
G4O-5001-MONOMER	71.19
G4O-5002-MONOMER	73.42
G4O-5021-MONOMER	60.0
G4O-5027-MONOMER	80.85
G4O-5040-MONOMER	82.87
G4O-5599-MONOMER	65.31
G4O-5612-MONOMER	73.86
G4O-5613-MONOMER	65.57
G4O-5623-MONOMER	64.0
G4O-5641-MONOMER	78.93
G4O-5647-MONOMER	68.91
G4O-5651-MONOMER	60.49
G4O-5670-MONOMER	59.21
G4O-5674-MONOMER	59.69
G4O-5689-MONOMER	62.37
G4O-6247-MONOMER	80.72
G4O-6251-MONOMER	64.36
G4O-6261-MONOMER	76.02
G4O-6270-MONOMER	73.36
G4O-6272-MONOMER	72.5
G4O-6283-MONOMER	55.77
G4O-6284-MONOMER	59.72
G4O-6286-MONOMER	57.43
G4O-6288-MONOMER	61.43
G4O-6301-MONOMER	63.07
G4O-7632-MONOMER	84.56
G4O-781-MONOMER	51.3
G4O-7842-MONOMER	55.43
G4O-822-MONOMER	59.81
G4O-829-MONOMER	65.69
G4O-833-MONOMER	66.18
G4O-844-MONOMER	55.56
G4O-857-MONOMER	48.85
G4O-8613-MONOMER	50.0
G4O-8623-MONOMER	72.0
G4O-8655-MONOMER	74.88
G4O-8665-MONOMER	77.46
G4O-8679-MONOMER	54.39
G4O-870-MONOMER	66.67
G4O-9204-MONOMER	63.64
G4O-9207-MONOMER	68.35
G4O-9225-MONOMER	63.64
G4O-981-MONOMER	65.22
G4O-1709-MONOMER	86.56
G4O-1714-MONOMER	68.35
G4O-1717-MONOMER	47.37
G4O-1718-MONOMER	86.59
G4O-1732-MONOMER	52.1
G4O-1966-MONOMER	54.46
G4O-1978-MONOMER	75.44
G4O-1980-MONOMER	61.26
G4O-1988-MONOMER	65.85
G4O-1997-MONOMER	69.83
G4O-2000-MONOMER	67.47
G4O-2010-MONOMER	61.58
G4O-2012-MONOMER	69.32
G4O-2014-MONOMER	72.31
G4O-2033-MONOMER	62.67
G4O-2051-MONOMER	63.98
G4O-2059-MONOMER	55.13
G4O-2059-MONOMER	67.92
G4O-2668-MONOMER	86.59
G4O-2677-MONOMER	83.5
G4O-2678-MONOMER	74.19
G4O-2684-MONOMER	59.06
G4O-2751-MONOMER	69.16
G4O-2772-MONOMER	62.96
G4O-2797-MONOMER	69.17
G4O-2801-MONOMER	45.45
G4O-2811-MONOMER	69.16
G4O-2825-MONOMER	71.79
G4O-2858-MONOMER	56.32
G4O-2867-MONOMER	72.0
G4O-2870-MONOMER	64.29
G4O-2876-MONOMER	83.8
G4O-2880-MONOMER	64.9
G4O-2891-MONOMER	65.85
G4O-2894-MONOMER	57.97
G4O-2914-MONOMER	53.85
G4O-2927-MONOMER	53.95
G4O-4497-MONOMER	76.64
G4O-4500-MONOMER	61.18
G4O-5059-MONOMER	64.52
G4O-5073-MONOMER	54.97
G4O-5090-MONOMER	74.86
G4O-5113-MONOMER	72.97
G4O-5118-MONOMER	75.51
G4O-5121-MONOMER	67.57
G4O-5131-MONOMER	60.84
G4O-5134-MONOMER	58.62
G4O-5162-MONOMER	69.09
G4O-6323-MONOMER	72.68
G4O-6325-MONOMER	62.86
G4O-6333-MONOMER	75.0
G4O-6347-MONOMER	65.56
G4O-6351-MONOMER	68.78
G4O-6373-MONOMER	87.89
G4O-6384-MONOMER	83.0
G4O-6397-MONOMER	74.19
G4O-6406-MONOMER	78.83
G4O-6416-MONOMER	63.92
G4O-6417-MONOMER	76.55
G4O-6425-MONOMER	71.05
G4O-6752-MONOMER	65.22
G4O-6764-MONOMER	53.33
G4O-6771-MONOMER	58.73
G4O-6805-MONOMER	61.11
G4O-6811-MONOMER	73.17
G4O-6816-MONOMER	69.09
G4O-6821-MONOMER	67.65
G4O-6846-MONOMER	63.89
G4O-6876-MONOMER	67.16
G4O-8032-MONOMER	71.56
G4O-8069-MONOMER	49.53
G4O-8086-MONOMER	61.29
G4O-8105-MONOMER	53.7
G4O-8105-MONOMER	62.26
G4O-8133-MONOMER	53.57
G4O-8137-MONOMER	87.2
G4O-8698-MONOMER	77.44
G4O-8707-MONOMER	87.43
G4O-8719-MONOMER	70.69
G4O-8722-MONOMER	82.02
G4O-8726-MONOMER	52.38
G4O-8732-MONOMER	55.77
G4O-8742-MONOMER	76.77
G4O-8749-MONOMER	76.92
G4O-8753-MONOMER	67.07
G4O-885-MONOMER	77.27
G4O-1744-MONOMER	63.09
G4O-1770-MONOMER	74.6
G4O-2107-MONOMER	62.75
G4O-2126-MONOMER	78.79
G4O-2164-MONOMER	61.11
G4O-2165-MONOMER	75.27
G4O-2171-MONOMER	52.0
G4O-2721-MONOMER	79.59
G4O-2966-MONOMER	81.44
G4O-2976-MONOMER	61.82
G4O-2978-MONOMER	77.98
G4O-3021-MONOMER	61.9
G4O-3068-MONOMER	53.95
G4O-3090-MONOMER	72.59
G4O-3111-MONOMER	65.83
G4O-3116-MONOMER	59.14
G4O-3118-MONOMER	61.9
G4O-3140-MONOMER	69.51
G4O-3143-MONOMER	55.56
G4O-3150-MONOMER	64.41
G4O-3165-MONOMER	60.92
G4O-3179-MONOMER	59.68
G4O-3182-MONOMER	73.43
G4O-3201-MONOMER	67.5
G4O-3210-MONOMER	64.29
G4O-3222-MONOMER	67.35
G4O-3223-MONOMER	60.92
G4O-3244-MONOMER	62.42
G4O-3252-MONOMER	69.53
G4O-3264-MONOMER	59.68
G4O-3274-MONOMER	75.0
G4O-3277-MONOMER	59.48
G4O-3305-MONOMER	62.66
G4O-3576-MONOMER	58.46
G4O-3589-MONOMER	68.42
G4O-3612-MONOMER	80.0
G4O-4521-MONOMER	75.68
G4O-4526-MONOMER	60.61
G4O-4545-MONOMER	69.57
G4O-482-MONOMER	61.9
G4O-490-MONOMER	67.61
G4O-495-MONOMER	71.79
G4O-5206-MONOMER	81.62
G4O-5207-MONOMER	64.49
G4O-5221-MONOMER	78.0
G4O-5244-MONOMER	70.89
G4O-5248-MONOMER	61.8
G4O-5255-MONOMER	84.44
G4O-5260-MONOMER	62.5
G4O-5289-MONOMER	50.31
G4O-5290-MONOMER	74.42
G4O-5304-MONOMER	63.16
G4O-6056-MONOMER	62.2
G4O-6070-MONOMER	63.7
G4O-6078-MONOMER	67.71
G4O-6095-MONOMER	80.65
G4O-6101-MONOMER	56.25
G4O-6103-MONOMER	65.52
G4O-6108-MONOMER	65.44
G4O-6109-MONOMER	83.89
G4O-6134-MONOMER	65.38
G4O-6139-MONOMER	59.17
G4O-6885-MONOMER	69.05
G4O-6926-MONOMER	74.55
G4O-6927-MONOMER	76.58
G4O-6930-MONOMER	46.03
G4O-6930-MONOMER	46.56
G4O-6959-MONOMER	60.0
G4O-6969-MONOMER	58.7
G4O-7187-MONOMER	50.26
G4O-7192-MONOMER	82.63
G4O-7611-MONOMER	71.01
G4O-7622-MONOMER	64.81
G4O-7625-MONOMER	88.89
G4O-7910-MONOMER	66.78
G4O-7912-MONOMER	82.93
G4O-8149-MONOMER	71.43
G4O-8150-MONOMER	65.08
G4O-8152-MONOMER	66.48
G4O-8163-MONOMER	75.56
G4O-8168-MONOMER	82.23
G4O-8175-MONOMER	62.39
G4O-8184-MONOMER	63.64
G4O-8192-MONOMER	62.77
G4O-8194-MONOMER	80.67
G4O-8199-MONOMER	61.96
G4O-8778-MONOMER	81.97
G4O-8783-MONOMER	70.45
G4O-8790-MONOMER	52.17
G4O-8815-MONOMER	67.39
G4O-956-MONOMER	56.83
G4O-1021-MONOMER	75.71
G4O-1035-MONOMER	52.05
G4O-1039-MONOMER	67.89
G4O-1083-MONOMER	40.34
G4O-1386-MONOMER	54.17
G4O-1392-MONOMER	73.08
G4O-1782-MONOMER	67.32
G4O-1790-MONOMER	58.27
G4O-1814-MONOMER	60.23
G4O-1960-MONOMER	82.76
G4O-2179-MONOMER	66.67
G4O-2190-MONOMER	58.2
G4O-2191-MONOMER	60.87
G4O-2198-MONOMER	77.78
G4O-2206-MONOMER	64.15
G4O-2211-MONOMER	69.7
G4O-2223-MONOMER	80.97
G4O-2235-MONOMER	61.69
G4O-2245-MONOMER	81.7
G4O-33-MONOMER	57.75
G4O-3344-MONOMER	83.33
G4O-3346-MONOMER	66.8
G4O-3348-MONOMER	67.84
G4O-3371-MONOMER	65.38
G4O-3395-MONOMER	85.23
G4O-3405-MONOMER	69.23
G4O-3433-MONOMER	63.46
G4O-3465-MONOMER	87.4
G4O-3487-MONOMER	94.35
G4O-3503-MONOMER	81.44
G4O-3504-MONOMER	67.19
G4O-3508-MONOMER	67.69
G4O-3536-MONOMER	71.01
G4O-3538-MONOMER	63.09
G4O-3544-MONOMER	66.8
G4O-3548-MONOMER	69.77
G4O-3555-MONOMER	50.51
G4O-3557-MONOMER	74.65
G4O-3559-MONOMER	50.0
G4O-45-MONOMER	67.59
G4O-4550-MONOMER	67.82
G4O-5310-MONOMER	64.06
G4O-5319-MONOMER	70.69
G4O-5339-MONOMER	61.46
G4O-5342-MONOMER	54.79
G4O-5347-MONOMER	65.29
G4O-5367-MONOMER	49.32
G4O-552-MONOMER	56.84
G4O-552-MONOMER	65.28
G4O-553-MONOMER	51.35
G4O-6162-MONOMER	67.5
G4O-6175-MONOMER	81.72
G4O-6177-MONOMER	77.55
G4O-6191-MONOMER	74.87
G4O-7016-MONOMER	69.89
G4O-7016-MONOMER	78.48
G4O-7061-MONOMER	69.23
G4O-7264-MONOMER	54.9
G4O-7266-MONOMER	85.03
G4O-7269-MONOMER	70.0
G4O-7273-MONOMER	61.31
G4O-7636-MONOMER	64.43
G4O-7677-MONOMER	58.04
G4O-7681-MONOMER	84.91
G4O-7690-MONOMER	52.13
G4O-7848-MONOMER	61.94
G4O-7934-MONOMER	65.56
G4O-7943-MONOMER	76.03
G4O-8216-MONOMER	77.11
G4O-8235-MONOMER	64.0
G4O-8258-MONOMER	76.0
G4O-8817-MONOMER	71.56
G4O-8849-MONOMER	60.32
G4O-8858-MONOMER	76.72
G4O-8859-MONOMER	66.04
G4O-8865-MONOMER	65.67
G4O-8874-MONOMER	65.42
G4O-977-MONOMER	50.0
G4O-1047-MONOMER	73.86
G4O-106-MONOMER	60.66
G4O-1069-MONOMER	74.71
G4O-1084-MONOMER	79.11
G4O-1089-MONOMER	55.13
G4O-1098-MONOMER	75.42
G4O-1117-MONOMER	77.22
G4O-1131-MONOMER	82.75
G4O-119-MONOMER	57.14
G4O-133-MONOMER	62.89
G4O-139-MONOMER	53.85
G4O-145-MONOMER	86.84
G4O-1467-MONOMER	71.01
G4O-147-MONOMER	75.0
G4O-1475-MONOMER	57.53
G4O-1490-MONOMER	71.43
G4O-1548-MONOMER	75.0
G4O-1708-MONOMER	45.26
G4O-176-MONOMER	50.52
G4O-1802-MONOMER	70.11
G4O-1806-MONOMER	47.18
G4O-1822-MONOMER	65.33
G4O-1822-MONOMER	69.93
G4O-1956-MONOMER	70.0
G4O-197-MONOMER	64.48
G4O-222-MONOMER	80.49
G4O-2247-MONOMER	58.95
G4O-2270-MONOMER	71.05
G4O-2280-MONOMER	67.47
G4O-2287-MONOMER	84.0
G4O-2305-MONOMER	71.88
G4O-2319-MONOMER	75.51
G4O-2730-MONOMER	64.58
G4O-3588-MONOMER	63.47
G4O-3643-MONOMER	72.22
G4O-3666-MONOMER	69.32
G4O-3674-MONOMER	50.0
G4O-3690-MONOMER	65.16
G4O-3710-MONOMER	63.16
G4O-3730-MONOMER	75.27
G4O-3733-MONOMER	44.27
G4O-3742-MONOMER	59.76
G4O-3751-MONOMER	73.12
G4O-3766-MONOMER	89.19
G4O-4516-MONOMER	84.78
G4O-5390-MONOMER	64.2
G4O-5423-MONOMER	49.52
G4O-5431-MONOMER	76.3
G4O-5431-MONOMER	78.15
G4O-5433-MONOMER	55.75
G4O-5436-MONOMER	70.21
G4O-5437-MONOMER	80.85
G4O-5438-MONOMER	79.59
G4O-5902-MONOMER	66.99
G4O-5902-MONOMER	70.87
G4O-5905-MONOMER	47.13
G4O-5909-MONOMER	83.62
G4O-5938-MONOMER	66.82
G4O-5944-MONOMER	65.0
G4O-5954-MONOMER	76.12
G4O-5989-MONOMER	60.0
G4O-5989-MONOMER	80.95
G4O-7086-MONOMER	58.26
G4O-75-MONOMER	63.16
G4O-7607-MONOMER	56.14
G4O-7738-MONOMER	61.83
G4O-7764-MONOMER	64.06
G4O-7782-MONOMER	82.58
G4O-7789-MONOMER	77.49
G4O-7796-MONOMER	58.54
G4O-7802-MONOMER	71.43
G4O-7944-MONOMER	74.79
G4O-7967-MONOMER	68.22
G4O-7977-MONOMER	78.86
G4O-8291-MONOMER	63.46
G4O-8292-MONOMER	66.41
G4O-8307-MONOMER	75.74
G4O-8355-MONOMER	65.62
G4O-8363-MONOMER	57.83
G4O-8921-MONOMER	47.69
G4O-8943-MONOMER	55.42
G4O-8945-MONOMER	58.82
G4O-8951-MONOMER	59.65
G4O-8951-MONOMER	71.74
